fish_id,group,dpf,session_minutes,n_scored_events,n_abnormal_events,n_severe_events,n_whirlpool_events,n_convulsion_events,event_seconds,manual_pts_stage_observed,dlc_mean_speed_mm_s,dlc_max_speed_mm_s,dlc_mean_tail_bend_deg,dlc_max_tail_bend_deg,dlc_mean_keypoint_likelihood,dlc_tracking_qc_pass,dlc_abnormal_event_rate_per_min,dlc_severe_event_rate_per_min,dlc_whirlpool_rate_per_min,dlc_convulsion_rate_per_min,dlc_rest_fraction,dlc_behavior_abnormality_index
LZTBI-0001,sham,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0001,sham,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0001,sham,6,5.0,1.0,1.0,0.0,0.0,0.0,2.088,1.0,31.76,51.77,33.33,71.94,0.9789,True,0.2,0.0,0.0,0.0,0.99304,0.166667
LZTBI-0002,tbi_moderate,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0002,tbi_moderate,5,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0002,tbi_moderate,6,5.0,2.0,0.0,0.0,0.0,0.0,1.2000000000000002,0.0,13.545,30.29,26.975,63.69,0.9596,True,0.0,0.0,0.0,0.0,0.996,0.0
LZTBI-0003,tbi_high,4,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,True,0.0,0.0,0.0,0.0,1.0,0.0
LZTBI-0003,tbi_high,5,5.0,2.0,2.0,2.0,1.0,1.0,11.232,3.0,48.97,106.4,68.005,166.1,0.9618,True,0.4,0.4,0.2,0.2,0.96256,1.2
LZTBI-0003,tbi_high,6,5.0,5.0,3.0,3.0,0.0,3.0,15.006,3.0,29.089999999999996,110.9,57.260000000000005,164.69,0.9585000000000001,True,0.6,0.6,0.0,0.6,0.94998,1.7
LZTBI-0004,tbi_moderate,4,5.0,1.0,1.0,0.0,0.0,0.0,1.2,1.0,28.98,60.13,28.01,51.47,0.9519,True,0.2,0.0,0.0,0.0,0.996,0.166667
