fish_id,group,batch,clutch_id,plate_id,well_id,tbi_dpf,dpf,days_post_tbi,hours_post_tbi,n_weight_drops,nominal_peak_pressure_kpa,measured_peak_pressure_kpa,cumulative_pressure_burden_kpa_hits,channel,electrode_target,electrode_impedance_mohm,rms_noise_mv,electrode_shift_pct,qc_pass,sampling_rate_hz,recording_duration_min,artifact_fraction,recording_start_utc,lfp_variance_uv2,lfp_kurtosis,lfp_seizure_event_rate_per_h,lfp_fourth_power_mean_uv4
LZTBI-0001,sham,1,CL01,P01,A01,3,4,1,24,0,0,0.0,0.0,1,forebrain,2.97,0.0168,1.3,True,3000,30,0.0135,2026-07-14 14:00:00,359.0364,2.7405,0,240223.8569
LZTBI-0001,sham,1,CL01,P01,A01,3,5,2,48,0,0,0.0,0.0,1,forebrain,2.91,0.0184,11.0,True,3000,30,0.0335,2026-07-15 14:00:00,495.3128,2.8547,0,481580.7695
LZTBI-0001,sham,1,CL01,P01,A01,3,6,3,72,0,0,0.0,0.0,1,forebrain,3.07,0.0171,11.1,True,3000,30,0.0275,2026-07-16 14:00:00,423.1103,2.9871,0,500349.2672
LZTBI-0002,tbi_moderate,1,CL01,P01,A02,3,4,1,24,1,214,201.6,201.6,2,forebrain,3.11,0.0246,12.6,True,3000,30,0.0393,2026-07-14 14:00:00,1001.7893,3.6912,0,3379053.8763
LZTBI-0002,tbi_moderate,1,CL01,P01,A02,3,5,2,48,1,214,201.6,201.6,2,forebrain,3.09,0.0135,4.2,True,3000,30,0.02,2026-07-15 14:00:00,423.4173,3.7525,0,637586.9519
LZTBI-0002,tbi_moderate,1,CL01,P01,A02,3,6,3,72,1,214,201.6,201.6,2,forebrain,3.11,0.0248,3.7,True,3000,30,0.0191,2026-07-16 14:00:00,1518.1022,5.3097,0,10664462.9678
LZTBI-0003,tbi_high,1,CL01,P01,A03,3,4,1,24,1,318,333.7,333.7,3,forebrain,3.16,0.0176,11.6,True,3000,30,0.0315,2026-07-14 14:00:00,848.721,7.3759,0,4657419.647
LZTBI-0003,tbi_high,1,CL01,P01,A03,3,5,2,48,1,318,333.7,333.7,3,forebrain,3.17,0.0163,12.0,True,3000,30,0.0233,2026-07-15 14:00:00,1058.2671,6.6727,0,6940689.9314
LZTBI-0003,tbi_high,1,CL01,P01,A03,3,6,3,72,1,318,333.7,333.7,3,forebrain,3.16,0.017,3.8,True,3000,30,0.0143,2026-07-16 14:00:00,1423.0841,7.7021,0,13821692.9713
LZTBI-0004,tbi_moderate,1,CL01,P01,A04,3,4,1,24,1,214,201.6,201.6,4,forebrain,2.93,0.0232,8.9,True,3000,30,0.0219,2026-07-14 14:00:00,1256.1451,4.8624,0,6398373.7916
LZTBI-0005,tbi_low,1,CL01,P01,A05,3,4,1,24,1,112,117.1,117.1,5,forebrain,2.77,0.0151,4.0,True,3000,30,0.0127,2026-07-14 14:00:00,574.6922,4.5079,0,1400555.4346
LZTBI-0005,tbi_low,1,CL01,P01,A05,3,5,2,48,1,112,117.1,117.1,5,forebrain,2.76,0.0174,11.2,True,3000,30,0.0355,2026-07-15 14:00:00,773.286,5.3991,0,2586488.8101
LZTBI-0005,tbi_low,1,CL01,P01,A05,3,6,3,72,1,112,117.1,117.1,5,forebrain,2.85,0.0138,14.7,True,3000,30,0.0274,2026-07-16 14:00:00,645.0333,6.1867,0,2175125.9657
LZTBI-0006,sham,1,CL01,P01,A06,3,4,1,24,0,0,0.0,0.0,6,forebrain,3.03,0.0125,2.1,True,3000,30,0.0132,2026-07-14 14:00:00,248.0322,2.9262,0,122413.2723
LZTBI-0006,sham,1,CL01,P01,A06,3,5,2,48,0,0,0.0,0.0,6,forebrain,3.04,0.0174,14.7,True,3000,30,0.0245,2026-07-15 14:00:00,442.7411,3.1105,0,530319.4488
LZTBI-0006,sham,1,CL01,P01,A06,3,6,3,72,0,0,0.0,0.0,6,forebrain,2.95,0.0133,11.0,True,3000,30,0.0295,2026-07-16 14:00:00,218.7567,3.5685,0,124785.8007
LZTBI-0007,tbi_moderate,1,CL01,P01,A07,3,4,1,24,1,214,201.6,201.6,7,forebrain,3.24,0.0164,25.4,True,3000,30,0.0171,2026-07-14 14:00:00,533.6966,4.265,0,1063374.8237
LZTBI-0007,tbi_moderate,1,CL01,P01,A07,3,5,2,48,1,214,201.6,201.6,7,forebrain,3.26,0.0175,5.8,True,3000,30,0.0377,2026-07-15 14:00:00,551.5409,3.9168,0,1125451.4414
LZTBI-0007,tbi_moderate,1,CL01,P01,A07,3,6,3,72,1,214,201.6,201.6,7,forebrain,3.26,0.0171,0.9,True,3000,30,0.0291,2026-07-16 14:00:00,647.8373,4.265,0,1875954.2637
LZTBI-0008,tbi_low,1,CL01,P01,A08,3,4,1,24,1,112,117.1,117.1,8,forebrain,2.73,0.0224,8.7,True,3000,30,0.0175,2026-07-14 14:00:00,927.2101,3.8119,0,2228450.9692
LZTBI-0008,tbi_low,1,CL01,P01,A08,3,5,2,48,1,112,117.1,117.1,8,forebrain,2.74,0.0141,14.1,True,3000,30,0.0264,2026-07-15 14:00:00,448.8472,5.278,0,961132.5399
LZTBI-0008,tbi_low,1,CL01,P01,A08,3,6,3,72,1,112,117.1,117.1,8,forebrain,2.76,0.0261,1.1,True,3000,30,0.0346,2026-07-16 14:00:00,1704.9876,5.5181,0,15472472.4373
LZTBI-0009,tbi_high,1,CL01,P01,A09,3,4,1,24,1,318,333.7,333.7,9,forebrain,2.89,0.022,1.8,True,3000,30,0.0282,2026-07-14 14:00:00,1640.714,6.7424,0,18601634.4596
LZTBI-0009,tbi_high,1,CL01,P01,A09,3,5,2,48,1,318,333.7,333.7,9,forebrain,2.87,0.0085,7.6,True,3000,30,0.0191,2026-07-15 14:00:00,1426.5512,8.9876,4,14213706.6732
LZTBI-0009,tbi_high,1,CL01,P01,A09,3,6,3,72,1,318,333.7,333.7,9,forebrain,2.96,0.0218,5.2,True,3000,30,0.0162,2026-07-16 14:00:00,2445.4604,8.7504,2,41895580.7735
LZTBI-0010,sham,1,CL01,P01,A10,3,4,1,24,0,0,0.0,0.0,10,forebrain,2.68,0.0199,2.7,True,3000,30,0.0147,2026-07-14 14:00:00,506.3325,3.441,0,836775.4425
LZTBI-0010,sham,1,CL01,P01,A10,3,5,2,48,0,0,0.0,0.0,10,forebrain,2.74,0.0168,6.0,True,3000,30,0.0351,2026-07-15 14:00:00,340.1751,3.0534,0,327389.2489
LZTBI-0010,sham,1,CL01,P01,A10,3,6,3,72,0,0,0.0,0.0,10,forebrain,2.83,0.0187,19.0,True,3000,30,0.0267,2026-07-16 14:00:00,543.7386,3.9807,0,1105815.0434
LZTBI-0011,tbi_high,1,CL01,P01,B01,3,4,1,24,1,318,333.7,333.7,11,forebrain,3.15,0.0188,16.6,True,3000,30,0.032,2026-07-14 14:00:00,1193.2697,5.0249,0,6657610.3006
LZTBI-0011,tbi_high,1,CL01,P01,B01,3,5,2,48,1,318,333.7,333.7,11,forebrain,3.04,0.011,9.8,True,3000,30,0.0128,2026-07-15 14:00:00,479.0595,6.5261,0,1078015.1345
LZTBI-0011,tbi_high,1,CL01,P01,B01,3,6,3,72,1,318,333.7,333.7,11,forebrain,3.38,0.0183,10.1,True,3000,30,0.012,2026-07-16 14:00:00,1809.1017,8.4073,2,27817850.3354
LZTBI-0012,sham,1,CL01,P01,B02,3,4,1,24,0,0,0.0,0.0,12,forebrain,3.22,0.0222,3.3,True,3000,30,0.0318,2026-07-14 14:00:00,745.1676,3.7831,0,1897059.2933
LZTBI-0012,sham,1,CL01,P01,B02,3,5,2,48,0,0,0.0,0.0,12,forebrain,3.18,0.0159,13.2,True,3000,30,0.0222,2026-07-15 14:00:00,409.8945,4.7557,0,730145.5259
LZTBI-0012,sham,1,CL01,P01,B02,3,6,3,72,0,0,0.0,0.0,12,forebrain,3.21,0.0219,16.8,True,3000,30,0.0246,2026-07-16 14:00:00,896.669,3.3491,0,2120082.9186
LZTBI-0013,sham,1,CL01,P01,B03,3,4,1,24,0,0,0.0,0.0,13,forebrain,2.84,0.0159,12.1,True,3000,30,0.0316,2026-07-14 14:00:00,460.0786,4.1539,0,761701.7646
