fish_id,group,batch,clutch_id,plate_id,n_weight_drops,measured_peak_pressure_kpa,cumulative_pressure_burden_kpa_hits,last_observed_dpf,n_lfp_sessions,became_epileptic,first_seizure_hours,high_burden_state_dpf6_TRUTH,survived_to_6dpf,max_manual_baraban_stage_observed,is_synthetic
LZTBI-0001,sham,1,CL01,P01,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0002,tbi_moderate,1,CL01,P01,1,201.6,201.6,6,3,0,,0,True,0,False
LZTBI-0003,tbi_high,1,CL01,P01,1,333.7,333.7,6,3,1,,1,True,3,False
LZTBI-0004,tbi_moderate,1,CL01,P01,1,201.6,201.6,4,1,0,,0,False,1,False
LZTBI-0005,tbi_low,1,CL01,P01,1,117.09999999999998,117.1,6,3,0,,0,True,0,False
LZTBI-0006,sham,1,CL01,P01,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0007,tbi_moderate,1,CL01,P01,1,201.6,201.6,6,3,0,,0,True,0,False
LZTBI-0008,tbi_low,1,CL01,P01,1,117.09999999999998,117.1,6,3,0,,0,True,1,False
LZTBI-0009,tbi_high,1,CL01,P01,1,333.7,333.7,6,3,1,,1,True,3,False
LZTBI-0010,sham,1,CL01,P01,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0011,tbi_high,1,CL01,P01,1,333.7,333.7,6,3,1,,1,True,3,False
LZTBI-0012,sham,1,CL01,P01,0,0.0,0.0,6,3,0,,0,True,0,False
LZTBI-0013,sham,1,CL01,P01,0,0.0,0.0,6,3,0,,0,True,1,False
LZTBI-0014,tbi_moderate,1,CL01,P01,1,201.6,201.6,6,3,1,,0,True,3,False
LZTBI-0015,tbi_moderate,1,CL01,P01,1,201.6,201.6,6,3,1,,0,True,3,False
LZTBI-0016,tbi_moderate,1,CL01,P01,1,201.6,201.6,6,3,1,,1,True,2,False
LZTBI-0017,tbi_high,1,CL01,P01,1,333.7,333.7,6,3,1,,1,True,3,False
LZTBI-0018,tbi_moderate,1,CL01,P01,1,201.6,201.6,5,2,0,,0,False,1,False
LZTBI-0019,tbi_low,1,CL01,P01,1,117.09999999999998,117.1,6,3,0,,0,True,0,False
LZTBI-0020,tbi_high,1,CL01,P01,1,333.7,333.7,6,3,0,,0,True,1,False
LZTBI-0021,tbi_low,1,CL01,P01,1,117.1,117.1,5,2,0,,0,False,0,False
