fish_id,group,batch,clutch_id,plate_id,well_id,tbi_dpf,dpf,days_post_tbi,hours_post_tbi,n_weight_drops,nominal_peak_pressure_kpa,measured_peak_pressure_kpa,cumulative_pressure_burden_kpa_hits,channel,electrode_target,electrode_impedance_mohm,rms_noise_mv,electrode_shift_pct,qc_pass,sampling_rate_hz,recording_duration_min,artifact_fraction,lfp_mean_uv,lfp_variance_uv2,lfp_skewness,lfp_kurtosis,lfp_fourth_power_mean_uv4,lfp_seizure_event_rate_per_h,lfp_ica_complexity,is_synthetic
LZTBI-0001,sham,1,CL01,P01,A01,3,4,1,24,0,0,0.0,0.0,1,forebrain,2.97,0.0168,1.3,True,3000,30,0.0135,-0.5861,359.0364,0.3018,2.7405,240223.8569,0,0.9563,False
LZTBI-0001,sham,1,CL01,P01,A01,3,5,2,48,0,0,0.0,0.0,1,forebrain,2.91,0.0184,11.0,True,3000,30,0.0335,2.7482,495.3128,0.1468,2.8547,481580.7695,0,0.9161,False
LZTBI-0001,sham,1,CL01,P01,A01,3,6,3,72,0,0,0.0,0.0,1,forebrain,3.07,0.0171,11.1,True,3000,30,0.0275,1.4191,423.1103,0.0945,2.9871,500349.2672,0,0.8907,False
LZTBI-0002,tbi_moderate,1,CL01,P01,A02,3,4,1,24,1,214,201.6,201.6,2,forebrain,3.11,0.0246,12.6,True,3000,30,0.0393,1.5842,1001.7893,0.1304,3.6912,3379053.8763,0,0.8501,False
LZTBI-0002,tbi_moderate,1,CL01,P01,A02,3,5,2,48,1,214,201.6,201.6,2,forebrain,3.09,0.0135,4.2,True,3000,30,0.02,2.0386,423.4173,0.1824,3.7525,637586.9519,0,0.8289,False
LZTBI-0002,tbi_moderate,1,CL01,P01,A02,3,6,3,72,1,214,201.6,201.6,2,forebrain,3.11,0.0248,3.7,True,3000,30,0.0191,3.8251,1518.1022,0.6473,5.3097,10664462.9678,0,0.7874,False
LZTBI-0003,tbi_high,1,CL01,P01,A03,3,4,1,24,1,318,333.7,333.7,3,forebrain,3.16,0.0176,11.6,True,3000,30,0.0315,8.1073,848.721,0.5987,7.3759,4657419.647,0,0.5331,False
LZTBI-0003,tbi_high,1,CL01,P01,A03,3,5,2,48,1,318,333.7,333.7,3,forebrain,3.17,0.0163,12.0,True,3000,30,0.0233,8.2339,1058.2671,1.113,6.6727,6940689.9314,0,0.5258,False
LZTBI-0003,tbi_high,1,CL01,P01,A03,3,6,3,72,1,318,333.7,333.7,3,forebrain,3.16,0.017,3.8,True,3000,30,0.0143,7.6564,1423.0841,0.9441,7.7021,13821692.9713,0,0.441,False
LZTBI-0004,tbi_moderate,1,CL01,P01,A04,3,4,1,24,1,214,201.6,201.6,4,forebrain,2.93,0.0232,8.9,True,3000,30,0.0219,3.3558,1256.1451,-0.0442,4.8624,6398373.7916,0,0.6853,False
