fish_id,group,batch,n_weight_drops,measured_peak_pressure_kpa,cumulative_pressure_burden_kpa_hits,last_observed_dpf,survived_to_6dpf,high_burden_state_dpf6_TRUTH,first_high_state_dpf_TRUTH,max_hidden_state_TRUTH,max_manual_pts_stage_TRUTH,susceptibility_z_TRUTH,is_synthetic,simulator_seed
TBI0001,sham,1,0,0.0,0.0,6,True,0.0,,1,1,-1.04,True,42
TBI0002,sham,4,0,0.0,0.0,6,True,0.0,,0,0,0.6654,True,42
TBI0003,sham,1,0,0.0,0.0,6,True,0.0,,0,0,0.16,True,42
TBI0004,sham,3,0,0.0,0.0,6,True,0.0,,0,0,0.2322,True,42
TBI0005,sham,1,0,0.0,0.0,6,True,0.0,,0,1,0.5909,True,42
TBI0006,sham,4,0,0.0,0.0,6,True,0.0,,0,0,0.4747,True,42
TBI0007,sham,2,0,0.0,0.0,6,True,0.0,,0,1,0.7908,True,42
TBI0008,sham,1,0,0.0,0.0,6,True,0.0,,0,0,-1.775,True,42
TBI0009,sham,2,0,0.0,0.0,6,True,0.0,,0,0,-0.5008,True,42
TBI0010,sham,4,0,0.0,0.0,6,True,0.0,,0,0,-0.5562,True,42
TBI0011,sham,1,0,0.0,0.0,6,True,0.0,,0,0,-0.3618,True,42
TBI0012,sham,3,0,0.0,0.0,6,True,0.0,,0,0,0.3096,True,42
TBI0013,sham,1,0,0.0,0.0,6,True,0.0,,0,0,-0.2739,True,42
TBI0014,sham,1,0,0.0,0.0,6,True,0.0,,0,0,0.6141,True,42
TBI0015,sham,3,0,0.0,0.0,6,True,0.0,,0,1,0.3654,True,42
TBI0016,sham,4,0,0.0,0.0,6,True,0.0,,0,1,1.4493,True,42
TBI0017,sham,1,0,0.0,0.0,6,True,0.0,,1,1,0.4662,True,42
TBI0018,sham,4,0,0.0,0.0,6,True,0.0,,1,1,1.4387,True,42
TBI0019,sham,3,0,0.0,0.0,6,True,0.0,,0,0,2.0088,True,42
TBI0020,sham,4,0,0.0,0.0,6,True,0.0,,0,1,-0.7602,True,42
TBI0021,sham,1,0,0.0,0.0,6,True,0.0,,0,1,-2.3254,True,42
TBI0022,sham,3,0,0.0,0.0,6,True,0.0,,0,0,-1.592,True,42
TBI0023,sham,4,0,0.0,0.0,6,True,0.0,,1,1,1.4253,True,42
TBI0024,sham,2,0,0.0,0.0,6,True,0.0,,0,1,0.2384,True,42
TBI0025,sham,3,0,0.0,0.0,6,True,0.0,,0,0,-1.2247,True,42
TBI0026,sham,1,0,0.0,0.0,6,True,0.0,,0,0,-0.7988,True,42
TBI0027,sham,3,0,0.0,0.0,6,True,0.0,,1,1,-0.0981,True,42
TBI0028,sham,4,0,0.0,0.0,6,True,0.0,,1,1,1.9354,True,42
TBI0029,sham,2,0,0.0,0.0,6,True,0.0,,0,0,-0.6442,True,42
TBI0030,sham,2,0,0.0,0.0,6,True,0.0,,0,0,-0.8812,True,42
TBI0031,sham,3,0,0.0,0.0,6,True,0.0,,0,1,-0.9415,True,42
TBI0032,sham,4,0,0.0,0.0,6,True,0.0,,1,2,-0.5136,True,42
TBI0033,sham,4,0,0.0,0.0,6,True,0.0,,0,0,-0.4623,True,42
TBI0034,sham,4,0,0.0,0.0,6,True,0.0,,0,0,0.7799,True,42
TBI0035,sham,1,0,0.0,0.0,6,True,0.0,,0,1,0.0412,True,42
TBI0036,sham,3,0,0.0,0.0,6,True,0.0,,0,0,0.222,True,42
TBI0037,sham,2,0,0.0,0.0,6,True,0.0,,0,0,0.2078,True,42
TBI0038,sham,4,0,0.0,0.0,6,True,0.0,,0,0,-0.6082,True,42
TBI0039,sham,4,0,0.0,0.0,6,True,0.0,,0,0,-0.8527,True,42
TBI0040,sham,1,0,0.0,0.0,6,True,0.0,,0,0,-0.6739,True,42
TBI0041,sham,3,0,0.0,0.0,6,True,0.0,,0,0,-1.5457,True,42
TBI0042,sham,2,0,0.0,0.0,6,True,0.0,,0,0,0.2415,True,42
TBI0043,sham,1,0,0.0,0.0,6,True,0.0,,0,0,-1.3375,True,42
TBI0044,sham,3,0,0.0,0.0,6,True,0.0,,1,1,-0.1688,True,42
TBI0045,sham,2,0,0.0,0.0,6,True,0.0,5.0,2,2,-0.2274,True,42
TBI0046,sham,3,0,0.0,0.0,6,True,0.0,,0,1,1.8505,True,42
TBI0047,sham,2,0,0.0,0.0,6,True,0.0,,0,0,-1.4342,True,42
TBI0048,sham,3,0,0.0,0.0,6,True,0.0,,0,0,0.2565,True,42
TBI0049,sham,4,0,0.0,0.0,6,True,0.0,,0,0,0.8177,True,42
TBI0050,sham,3,0,0.0,0.0,6,True,0.0,,0,0,0.0792,True,42
TBI0051,sham,3,0,0.0,0.0,6,True,0.0,,0,0,0.8678,True,42
TBI0052,sham,1,0,0.0,0.0,6,True,0.0,,0,1,0.4071,True,42
TBI0053,sham,1,0,0.0,0.0,6,True,0.0,,0,0,0.8479,True,42
TBI0054,sham,2,0,0.0,0.0,6,True,0.0,,0,0,-1.7388,True,42
TBI0055,sham,2,0,0.0,0.0,6,True,0.0,,0,0,0.0441,True,42
TBI0056,sham,3,0,0.0,0.0,6,True,0.0,,0,0,-0.709,True,42
TBI0057,sham,1,0,0.0,0.0,6,True,0.0,,0,0,0.2,True,42
TBI0058,sham,3,0,0.0,0.0,6,True,0.0,,0,0,2.0371,True,42
TBI0059,sham,4,0,0.0,0.0,6,True,0.0,,0,0,0.6997,True,42
TBI0060,sham,3,0,0.0,0.0,6,True,0.0,,0,0,-0.4006,True,42
TBI0061,tbi_low,1,3,191.6161,574.8483,6,True,0.0,,1,1,-0.3799,True,42
TBI0062,tbi_low,1,3,173.6124,520.8373,6,True,0.0,,0,0,0.2523,True,42
TBI0063,tbi_low,3,3,203.6455,610.9366,6,True,0.0,,1,1,-0.7656,True,42
TBI0064,tbi_low,2,3,182.9654,548.8963,6,True,0.0,,1,1,0.9925,True,42
TBI0065,tbi_low,2,3,206.4374,619.3121,6,True,0.0,,0,0,0.2692,True,42
TBI0066,tbi_low,3,3,203.0536,609.1607,6,True,0.0,,1,1,-1.3433,True,42
TBI0067,tbi_low,4,3,185.1331,555.3994,6,True,0.0,,1,1,-1.4303,True,42
TBI0068,tbi_low,4,3,162.2624,486.7871,6,True,0.0,,1,1,0.6537,True,42
TBI0069,tbi_low,2,3,181.1278,543.3833,6,True,1.0,6.0,2,3,-0.1749,True,42
TBI0070,tbi_low,1,3,172.3295,516.9886,6,True,0.0,,0,0,1.7074,True,42
TBI0071,tbi_low,4,3,202.3975,607.1924,6,True,0.0,,0,0,-1.0035,True,42
TBI0072,tbi_low,4,3,188.9693,566.9079,6,True,0.0,,1,1,-0.6857,True,42
TBI0073,tbi_low,2,3,210.2222,630.6665,6,True,0.0,,0,0,-2.6074,True,42
TBI0074,tbi_low,3,3,195.928,587.7839,6,True,0.0,,0,0,0.4771,True,42
TBI0075,tbi_low,4,3,195.1608,585.4823,6,True,0.0,,1,1,0.3546,True,42
TBI0076,tbi_low,3,3,198.0177,594.0532,6,True,0.0,,1,1,0.7836,True,42
TBI0077,tbi_low,1,3,189.4958,568.4873,6,True,0.0,,0,0,1.2711,True,42
TBI0078,tbi_low,2,3,194.417,583.2509,6,True,1.0,6.0,2,3,1.6837,True,42
TBI0079,tbi_low,2,3,186.1765,558.5294,6,True,0.0,,1,1,1.6154,True,42
TBI0080,tbi_low,2,3,192.7828,578.3483,6,True,1.0,6.0,2,2,1.5201,True,42
TBI0081,tbi_low,3,3,179.6964,539.0892,6,True,0.0,,0,0,-1.3816,True,42
TBI0082,tbi_low,4,3,223.9734,671.9201,6,True,0.0,,0,0,0.5322,True,42
TBI0083,tbi_low,4,3,211.847,635.5409,6,True,0.0,4.0,2,2,-0.2532,True,42
TBI0084,tbi_low,3,3,199.5268,598.5803,6,True,1.0,6.0,2,2,1.8016,True,42
TBI0085,tbi_low,3,3,186.4646,559.3939,6,True,0.0,,1,1,0.9065,True,42
TBI0086,tbi_low,1,3,186.27,558.8101,6,True,0.0,,0,0,1.336,True,42
TBI0087,tbi_low,1,3,168.9665,506.8994,6,True,1.0,6.0,2,2,0.5492,True,42
TBI0088,tbi_low,1,3,202.8191,608.4572,6,True,0.0,,0,1,-0.1331,True,42
TBI0089,tbi_low,4,3,208.4402,625.3205,6,True,1.0,5.0,2,3,0.8515,True,42
TBI0090,tbi_low,1,3,212.0801,636.2404,6,True,0.0,,1,1,-1.1382,True,42
TBI0091,tbi_low,2,3,174.9132,524.7396,6,True,0.0,4.0,2,3,-0.1897,True,42
TBI0092,tbi_low,3,3,180.3706,541.1117,6,True,0.0,,0,0,0.7122,True,42
