fish_id,group,batch,tbi_dpf,dpf,days_post_tbi,syringe_ml,holder,weight_g,drop_height_cm,n_weight_drops,inter_drop_interval_lt_10_min,nominal_peak_pressure_kpa,measured_peak_pressure_kpa,cumulative_pressure_burden_kpa_hits,recording_duration_min,sampling_rate_hz,anti_alias_lowpass_hz,bandpass_low_hz,bandpass_high_hz,window_length_s,window_overlap_s,electrode_impedance_mohm,rms_noise_mv,electrode_shift_pct,qc_pass,lfp_mean_uv,lfp_variance_uv2,lfp_skewness,lfp_kurtosis,lfp_fourth_power_mean_uv4,lfp_seizure_event_rate_per_h,lfp_ica_complexity,hidden_state_TRUTH,is_synthetic,simulator_seed
TBI0001,sham,1,3,4,1,10,three_prong_clamp,0,0,0,False,0.0,0.0,0.0,240,3000,3000,0.5,1000,30,20,3.1033,0.0747,11.2576,True,8.9226,535.3944,0.2139,3.7408,1159005.6382,0.0,0.8138,0,True,42
TBI0001,sham,1,3,5,2,10,three_prong_clamp,0,0,0,False,0.0,0.0,0.0,240,3000,3000,0.5,1000,30,20,3.1901,0.1017,5.2854,True,12.5627,1758.0979,0.977,5.3295,15169286.0256,1.75,0.5842,1,True,42
TBI0001,sham,1,3,6,3,10,three_prong_clamp,0,0,0,False,0.0,0.0,0.0,240,3000,3000,0.5,1000,30,20,3.1933,0.0662,17.4566,True,-5.4043,807.2622,0.2222,3.22,1847079.5857,0.0,0.8789,0,True,42
TBI0002,sham,4,3,4,1,10,three_prong_clamp,0,0,0,False,0.0,0.0,0.0,240,3000,3000,0.5,1000,30,20,2.734,0.0573,2.7799,True,5.0272,652.5963,-0.2157,2.8068,1151011.383,0.25,0.868,0,True,42
TBI0002,sham,4,3,5,2,10,three_prong_clamp,0,0,0,False,0.0,0.0,0.0,240,3000,3000,0.5,1000,30,20,2.5882,0.0826,24.2414,True,-9.7722,842.3584,0.2235,2.6977,1795558.509,0.25,0.8669,0,True,42
TBI0002,sham,4,3,6,3,10,three_prong_clamp,0,0,0,False,0.0,0.0,0.0,240,3000,3000,0.5,1000,30,20,2.7969,0.0658,4.2851,True,-3.6305,585.2886,-0.2861,4.0809,1416309.7613,0.0,0.8186,0,True,42
TBI0003,sham,1,3,4,1,10,three_prong_clamp,0,0,0,False,0.0,0.0,0.0,240,3000,3000,0.5,1000,30,20,2.8927,0.0842,7.478,True,11.3934,855.0465,0.5274,3.2661,2112638.8274,0.0,0.87,0,True,42
TBI0003,sham,1,3,5,2,10,three_prong_clamp,0,0,0,False,0.0,0.0,0.0,240,3000,3000,0.5,1000,30,20,2.8051,0.0524,7.955,True,3.6037,595.8125,0.4193,2.9747,1021958.7075,0.0,0.8716,0,True,42
TBI0003,sham,1,3,6,3,10,three_prong_clamp,0,0,0,False,0.0,0.0,0.0,240,3000,3000,0.5,1000,30,20,3.5143,0.0563,1.1081,True,14.7416,520.8744,-0.3157,2.8156,756730.0543,0.25,0.8103,0,True,42
TBI0004,sham,3,3,4,1,10,three_prong_clamp,0,0,0,False,0.0,0.0,0.0,240,3000,3000,0.5,1000,30,20,2.6885,0.075,13.1432,True,10.2499,471.8028,0.1336,3.2642,719577.2864,0.0,0.838,0,True,42
TBI0004,sham,3,3,5,2,10,three_prong_clamp,0,0,0,False,0.0,0.0,0.0,240,3000,3000,0.5,1000,30,20,2.9828,0.0812,8.5877,True,-11.5006,513.1025,0.2674,2.4419,664324.5143,0.0,0.8663,0,True,42
TBI0004,sham,3,3,6,3,10,three_prong_clamp,0,0,0,False,0.0,0.0,0.0,240,3000,3000,0.5,1000,30,20,3.1785,0.0919,8.8996,True,-8.9676,868.4327,-0.1196,3.4592,2229306.5312,0.0,0.9859,0,True,42
TBI0005,sham,1,3,4,1,10,three_prong_clamp,0,0,0,False,0.0,0.0,0.0,240,3000,3000,0.5,1000,30,20,3.28,0.1001,6.5462,True,-3.2074,523.9768,-0.0623,3.0845,870050.0525,0.0,0.9267,0,True,42
TBI0005,sham,1,3,5,2,10,three_prong_clamp,0,0,0,False,0.0,0.0,0.0,240,3000,3000,0.5,1000,30,20,2.6044,0.1068,7.1971,True,0.9028,337.3141,0.1272,2.5051,242857.7448,0.0,0.9197,0,True,42
