fish_id,group,dpf,video_id,dlc_model,dlc_keypoints,dlc_pcutoff,dlc_mean_keypoint_likelihood,dlc_pct_frames_below_pcutoff,dlc_tracking_qc_pass,dlc_mean_speed_mm_s,dlc_max_speed_mm_s,dlc_rest_fraction,dlc_burst_rate_per_min,dlc_mean_tail_bend_deg,dlc_max_tail_bend_deg,dlc_mean_tail_angle_change_deg_s,dlc_max_tail_angle_change_deg_s,dlc_whirlpool_rate_per_min,dlc_behavior_abnormality_index,manual_pts_stage_TRUTH,stunned_phenotype_TRUTH,record_status,template_seed
TBI0001,sham,4,VID_TBI0001_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9562,3.9711,True,1.796,3.2061,0.2678,3.7597,11.9572,21.2615,41.7803,86.4972,0.0,0.1595,0,False,placeholder_pending_replacement,42
TBI0001,sham,5,VID_TBI0001_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.995,0.8952,True,3.131,7.1332,0.1584,7.1057,27.041,49.6337,68.237,134.512,0.2478,1.1504,1,False,placeholder_pending_replacement,42
TBI0001,sham,6,VID_TBI0001_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9351,3.8713,True,1.5944,3.5097,0.2982,3.5978,15.3703,21.6202,26.7046,54.1219,0.0,0.1195,0,False,placeholder_pending_replacement,42
TBI0002,sham,4,VID_TBI0002_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9518,3.3119,True,1.7853,4.1078,0.1923,4.5648,14.7132,25.8201,27.2468,40.2163,0.0,0.2131,0,False,placeholder_pending_replacement,42
TBI0002,sham,5,VID_TBI0002_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9717,1.0115,True,1.6378,3.4831,0.3077,6.5958,22.7416,29.9081,35.3153,75.704,0.0,0.3728,0,False,placeholder_pending_replacement,42
TBI0002,sham,6,VID_TBI0002_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9486,3.7814,True,1.32,2.8012,0.3077,2.8262,16.7947,33.4998,35.0796,77.2632,0.0,0.223,0,False,placeholder_pending_replacement,42
TBI0003,sham,4,VID_TBI0003_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.8152,18.1993,False,1.24,2.1653,0.2297,4.8363,12.8162,21.2035,31.959,64.7118,0.0,0.1789,0,False,placeholder_pending_replacement,42
TBI0003,sham,5,VID_TBI0003_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9437,2.1678,True,1.6179,4.1122,0.2779,2.5903,14.2715,18.7311,33.8258,50.6789,0.4228,0.2582,0,False,placeholder_pending_replacement,42
TBI0003,sham,6,VID_TBI0003_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9759,1.9725,True,1.222,2.1245,0.2534,4.444,19.1861,25.2259,24.1051,34.949,0.0,0.2462,0,False,placeholder_pending_replacement,42
TBI0004,sham,4,VID_TBI0004_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9716,2.9154,True,1.6236,2.8599,0.2916,1.732,16.7823,28.1145,35.6354,66.3816,0.0,0.2351,0,False,placeholder_pending_replacement,42
TBI0004,sham,5,VID_TBI0004_5dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.976,4.6216,True,1.4564,3.4363,0.3285,4.7575,19.1969,28.8282,41.4193,85.3819,0.0903,0.304,0,False,placeholder_pending_replacement,42
TBI0004,sham,6,VID_TBI0004_6dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.9077,3.4696,True,1.2662,3.2402,0.2715,2.4185,11.9866,19.712,34.4961,66.9098,0.2048,0.2655,0,False,placeholder_pending_replacement,42
TBI0005,sham,4,VID_TBI0005_4dpf,dlc_resnet50_placeholder,head|midline_1|midline_2|midline_3|midline_4|tail_tip,0.9,0.995,4.6849,True,1.515,2.6394,0.3367,3.0333,11.5332,21.8598,33.6184,66.3415,0.1551,0.2428,1,False,placeholder_pending_replacement,42
