fish_id,arm,state_4h,state_20h,peak_state,risk_pct,model_call,actual,result,split
F002,Sham,1,1,1,100.0,FLAG,resistant,FP (false alarm),train
F011,Sham,1,1,1,100.0,FLAG,resistant,FP (false alarm),train
F012,Sham,1,1,1,100.0,FLAG,sensitized,TP (correctly flagged),test
F017,Sham,1,2,2,100.0,FLAG,sensitized,TP (correctly flagged),train
F021,Sham,0,1,1,100.0,FLAG,resistant,FP (false alarm),train
F029,Sham,1,1,1,100.0,FLAG,resistant,FP (false alarm),train
F032,Sham,0,1,1,99.9,FLAG,resistant,FP (false alarm),test
F030,Sham,0,0,0,69.9,clear,resistant,TN (correctly cleared),test
F010,Sham,0,1,1,55.6,clear,resistant,TN (correctly cleared),train
F008,Sham,0,0,0,22.8,clear,resistant,TN (correctly cleared),train
F005,Sham,0,0,0,0.6,clear,resistant,TN (correctly cleared),train
F007,Sham,0,0,0,0.5,clear,resistant,TN (correctly cleared),train
F016,Sham,0,0,0,0.3,clear,resistant,TN (correctly cleared),test
F020,Sham,0,0,0,0.3,clear,resistant,TN (correctly cleared),test
F026,Sham,0,0,0,0.3,clear,resistant,TN (correctly cleared),test
F024,Sham,0,0,0,0.2,clear,resistant,TN (correctly cleared),train
F003,Sham,0,0,0,0.1,clear,resistant,TN (correctly cleared),train
F004,Sham,0,0,0,0.1,clear,resistant,TN (correctly cleared),train
F001,Sham,0,0,0,0.0,clear,resistant,TN (correctly cleared),train
F006,Sham,0,0,0,0.0,clear,resistant,TN (correctly cleared),train
F009,Sham,0,0,0,0.0,clear,resistant,TN (correctly cleared),test
F013,Sham,0,0,0,0.0,clear,resistant,TN (correctly cleared),train
F014,Sham,0,0,0,0.0,clear,resistant,TN (correctly cleared),test
F015,Sham,0,0,0,0.0,clear,resistant,TN (correctly cleared),train
F018,Sham,0,0,0,0.0,clear,resistant,TN (correctly cleared),test
F019,Sham,0,0,0,0.0,clear,resistant,TN (correctly cleared),train
F022,Sham,0,0,0,0.0,clear,resistant,TN (correctly cleared),train
