fish_id,mean_state_index,n_sessions,group
LZTBI-0001,0.0,3,sham
LZTBI-0002,0.3333333333333333,3,tbi_moderate
LZTBI-0003,1.0,3,tbi_high
LZTBI-0004,1.0,1,tbi_moderate
LZTBI-0005,0.6666666666666666,3,tbi_low
LZTBI-0006,0.0,3,sham
LZTBI-0007,0.0,3,tbi_moderate
LZTBI-0008,0.3333333333333333,3,tbi_low
LZTBI-0009,1.6666666666666667,3,tbi_high
LZTBI-0010,0.0,3,sham
LZTBI-0011,1.3333333333333333,3,tbi_high
LZTBI-0012,0.0,3,sham
LZTBI-0013,0.0,3,sham
LZTBI-0014,0.0,3,tbi_moderate
LZTBI-0015,1.0,3,tbi_moderate
LZTBI-0016,1.0,3,tbi_moderate
LZTBI-0017,1.0,3,tbi_high
LZTBI-0018,0.5,2,tbi_moderate
LZTBI-0019,1.3333333333333333,3,tbi_low
LZTBI-0020,2.0,3,tbi_high
LZTBI-0021,1.5,2,tbi_low
LZTBI-0022,0.0,3,tbi_low
LZTBI-0023,0.0,3,tbi_moderate
LZTBI-0024,1.6666666666666667,3,tbi_high
LZTBI-0025,1.3333333333333333,3,tbi_moderate
LZTBI-0026,0.0,2,tbi_moderate
LZTBI-0027,1.3333333333333333,3,tbi_high
LZTBI-0028,0.0,3,tbi_low
LZTBI-0029,0.3333333333333333,3,tbi_low
LZTBI-0030,0.0,3,sham
LZTBI-0031,0.0,2,tbi_moderate
LZTBI-0032,0.0,3,sham
LZTBI-0033,1.3333333333333333,3,tbi_moderate
LZTBI-0034,0.0,3,tbi_moderate
LZTBI-0035,0.0,3,sham
LZTBI-0036,0.0,3,sham
LZTBI-0037,0.0,3,tbi_low
LZTBI-0038,0.6666666666666666,3,tbi_low
LZTBI-0039,0.0,3,sham
LZTBI-0040,1.3333333333333333,3,tbi_low
LZTBI-0041,2.0,3,tbi_high
LZTBI-0042,1.6666666666666667,3,tbi_high
LZTBI-0043,1.0,3,tbi_high
LZTBI-0044,1.0,3,tbi_low
LZTBI-0045,0.0,3,tbi_moderate
LZTBI-0046,0.0,3,tbi_low
LZTBI-0047,1.6666666666666667,3,tbi_high
LZTBI-0048,1.6666666666666667,3,tbi_high
LZTBI-0049,0.0,3,tbi_low
LZTBI-0050,0.5,2,tbi_moderate
LZTBI-0051,0.0,3,sham
LZTBI-0052,1.3333333333333333,3,tbi_low
LZTBI-0053,0.3333333333333333,3,tbi_high
LZTBI-0054,1.0,3,tbi_moderate
LZTBI-0055,0.6666666666666666,3,tbi_low
LZTBI-0056,1.6666666666666667,3,tbi_moderate
LZTBI-0057,2.0,3,tbi_high
LZTBI-0058,0.0,3,sham
LZTBI-0059,0.0,3,sham
LZTBI-0060,1.6666666666666667,3,tbi_moderate
LZTBI-0061,1.0,3,tbi_high
LZTBI-0062,0.0,3,tbi_low
LZTBI-0063,0.0,2,sham
LZTBI-0064,0.0,3,sham
LZTBI-0065,0.0,3,sham
LZTBI-0066,1.3333333333333333,3,tbi_high
LZTBI-0067,1.3333333333333333,3,tbi_moderate
LZTBI-0068,0.0,3,sham
LZTBI-0069,1.0,3,tbi_high
LZTBI-0070,0.6666666666666666,3,tbi_high
LZTBI-0071,0.0,3,sham
LZTBI-0072,0.0,3,sham
LZTBI-0073,0.3333333333333333,3,tbi_low
LZTBI-0074,0.6666666666666666,3,tbi_low
LZTBI-0075,0.0,3,sham
LZTBI-0076,1.6666666666666667,3,tbi_high
