fish_id,group,high_burden_state_dpf6_TRUTH,split
TBI0001,sham,0.0,train
TBI0002,sham,0.0,train
TBI0003,sham,0.0,train
TBI0004,sham,0.0,train
TBI0005,sham,0.0,train
TBI0006,sham,0.0,test
TBI0007,sham,0.0,train
TBI0008,sham,0.0,test
TBI0009,sham,0.0,train
TBI0010,sham,0.0,train
TBI0011,sham,0.0,train
TBI0012,sham,0.0,train
TBI0013,sham,0.0,train
TBI0014,sham,0.0,train
TBI0015,sham,0.0,train
TBI0016,sham,0.0,train
TBI0017,sham,0.0,train
TBI0018,sham,0.0,test
TBI0019,sham,0.0,test
TBI0020,sham,0.0,train
TBI0021,sham,0.0,test
TBI0022,sham,0.0,train
TBI0023,sham,0.0,train
TBI0024,sham,0.0,train
TBI0025,sham,0.0,test
TBI0026,sham,0.0,test
TBI0027,sham,0.0,train
TBI0028,sham,0.0,test
TBI0029,sham,0.0,test
TBI0030,sham,0.0,test
TBI0031,sham,0.0,train
TBI0032,sham,0.0,test
TBI0033,sham,0.0,train
TBI0034,sham,0.0,train
TBI0035,sham,0.0,train
TBI0036,sham,0.0,train
TBI0037,sham,0.0,train
TBI0038,sham,0.0,test
TBI0039,sham,0.0,train
TBI0040,sham,0.0,test
TBI0041,sham,0.0,train
TBI0042,sham,0.0,train
TBI0043,sham,0.0,train
TBI0044,sham,0.0,train
TBI0045,sham,0.0,test
TBI0046,sham,0.0,train
TBI0047,sham,0.0,train
TBI0048,sham,0.0,train
TBI0049,sham,0.0,train
TBI0050,sham,0.0,train
TBI0051,sham,0.0,test
TBI0052,sham,0.0,train
TBI0053,sham,0.0,train
TBI0054,sham,0.0,train
TBI0055,sham,0.0,train
TBI0056,sham,0.0,test
TBI0057,sham,0.0,train
TBI0058,sham,0.0,test
TBI0059,sham,0.0,train
TBI0060,sham,0.0,test
TBI0061,tbi_low,0.0,train
TBI0062,tbi_low,0.0,test
TBI0063,tbi_low,0.0,train
TBI0064,tbi_low,0.0,train
TBI0065,tbi_low,0.0,train
TBI0066,tbi_low,0.0,train
TBI0067,tbi_low,0.0,test
TBI0068,tbi_low,0.0,test
TBI0069,tbi_low,1.0,train
TBI0070,tbi_low,0.0,train
TBI0071,tbi_low,0.0,test
TBI0072,tbi_low,0.0,train
TBI0073,tbi_low,0.0,train
TBI0074,tbi_low,0.0,train
TBI0075,tbi_low,0.0,train
TBI0076,tbi_low,0.0,train
TBI0077,tbi_low,0.0,test
TBI0078,tbi_low,1.0,test
TBI0079,tbi_low,0.0,train
TBI0080,tbi_low,1.0,train
TBI0081,tbi_low,0.0,train
TBI0082,tbi_low,0.0,test
TBI0083,tbi_low,0.0,test
TBI0084,tbi_low,1.0,train
TBI0085,tbi_low,0.0,train
TBI0086,tbi_low,0.0,train
TBI0087,tbi_low,1.0,train
TBI0088,tbi_low,0.0,train
TBI0089,tbi_low,1.0,train
TBI0090,tbi_low,0.0,test
TBI0091,tbi_low,0.0,train
TBI0092,tbi_low,0.0,train
TBI0093,tbi_low,0.0,train
TBI0094,tbi_low,0.0,train
TBI0095,tbi_low,0.0,train
TBI0096,tbi_low,0.0,train
TBI0097,tbi_low,0.0,train
TBI0098,tbi_low,1.0,train
TBI0099,tbi_low,0.0,test
TBI0100,tbi_low,1.0,test
TBI0101,tbi_low,0.0,train
TBI0102,tbi_low,0.0,train
TBI0103,tbi_low,0.0,test
TBI0104,tbi_low,0.0,train
TBI0105,tbi_low,0.0,train
TBI0106,tbi_low,0.0,test
TBI0107,tbi_low,0.0,train
TBI0108,tbi_low,0.0,train
TBI0109,tbi_low,0.0,test
TBI0110,tbi_low,0.0,train
TBI0111,tbi_low,0.0,train
TBI0112,tbi_low,0.0,test
TBI0113,tbi_low,,train
