group,dpf,n_sessions,mean_expected_state,fraction_state_0,fraction_state_1,fraction_state_2
sham,4,18,0.25290263829766085,0.8333333333333334,0.1111111111111111,0.05555555555555555
sham,5,18,0.17493784202797702,0.8888888888888888,0.1111111111111111,0.0
sham,6,18,0.2489858650679634,0.8333333333333334,0.1111111111111111,0.05555555555555555
tbi_low,4,18,0.6296586522815733,0.5,0.3333333333333333,0.16666666666666666
tbi_low,5,18,0.9074541260548123,0.3333333333333333,0.3888888888888889,0.2777777777777778
tbi_low,6,17,0.9580584930448091,0.29411764705882354,0.4117647058823529,0.29411764705882354
tbi_moderate,4,18,0.39645999713252433,0.6111111111111112,0.3333333333333333,0.05555555555555555
tbi_moderate,5,18,0.5861834682310628,0.3888888888888889,0.5555555555555556,0.05555555555555555
tbi_moderate,6,16,1.0474328506292387,0.1875,0.5625,0.25
tbi_high,4,18,1.4475219998250735,0.0,0.5,0.5
tbi_high,5,18,1.3094038186382528,0.0,0.6666666666666666,0.3333333333333333
tbi_high,6,18,1.7769135448422586,0.0,0.2222222222222222,0.7777777777777778
