fish_id,group,high_burden_state_dpf6_TRUTH,split
LZTBI-0001,sham,0,train
LZTBI-0002,tbi_moderate,0,train
LZTBI-0003,tbi_high,1,train
LZTBI-0004,tbi_moderate,0,train
LZTBI-0005,tbi_low,0,train
LZTBI-0006,sham,0,train
LZTBI-0007,tbi_moderate,0,train
LZTBI-0008,tbi_low,0,train
LZTBI-0009,tbi_high,1,train
LZTBI-0010,sham,0,train
LZTBI-0011,tbi_high,1,test
LZTBI-0012,sham,0,train
LZTBI-0013,sham,0,train
LZTBI-0014,tbi_moderate,0,test
LZTBI-0015,tbi_moderate,0,train
LZTBI-0016,tbi_moderate,1,test
LZTBI-0017,tbi_high,1,test
LZTBI-0018,tbi_moderate,0,train
LZTBI-0019,tbi_low,0,train
LZTBI-0020,tbi_high,0,train
LZTBI-0021,tbi_low,0,train
LZTBI-0022,tbi_low,0,train
LZTBI-0023,tbi_moderate,0,test
LZTBI-0024,tbi_high,1,test
LZTBI-0025,tbi_moderate,1,train
LZTBI-0026,tbi_moderate,0,train
LZTBI-0027,tbi_high,1,train
LZTBI-0028,tbi_low,0,train
LZTBI-0029,tbi_low,0,test
LZTBI-0030,sham,0,test
LZTBI-0031,tbi_moderate,0,train
LZTBI-0032,sham,0,train
LZTBI-0033,tbi_moderate,0,test
LZTBI-0034,tbi_moderate,0,train
LZTBI-0035,sham,0,test
LZTBI-0036,sham,0,train
LZTBI-0037,tbi_low,0,test
LZTBI-0038,tbi_low,0,train
LZTBI-0039,sham,0,train
LZTBI-0040,tbi_low,0,test
LZTBI-0041,tbi_high,1,test
LZTBI-0042,tbi_high,1,train
LZTBI-0043,tbi_high,0,train
LZTBI-0044,tbi_low,0,train
LZTBI-0045,tbi_moderate,0,test
LZTBI-0046,tbi_low,0,train
LZTBI-0047,tbi_high,1,test
LZTBI-0048,tbi_high,0,test
LZTBI-0049,tbi_low,0,train
LZTBI-0050,tbi_moderate,1,test
LZTBI-0051,sham,1,train
LZTBI-0052,tbi_low,1,test
LZTBI-0053,tbi_high,1,train
LZTBI-0054,tbi_moderate,1,train
LZTBI-0055,tbi_low,0,train
LZTBI-0056,tbi_moderate,0,train
LZTBI-0057,tbi_high,1,train
LZTBI-0058,sham,0,train
LZTBI-0059,sham,0,train
LZTBI-0060,tbi_moderate,0,train
LZTBI-0061,tbi_high,0,train
LZTBI-0062,tbi_low,0,train
LZTBI-0063,sham,0,train
LZTBI-0064,sham,0,train
LZTBI-0065,sham,0,train
LZTBI-0066,tbi_high,0,test
LZTBI-0067,tbi_moderate,0,train
LZTBI-0068,sham,0,train
LZTBI-0069,tbi_high,1,test
LZTBI-0070,tbi_high,0,train
LZTBI-0071,sham,0,train
LZTBI-0072,sham,0,test
LZTBI-0073,tbi_low,0,test
LZTBI-0074,tbi_low,0,test
LZTBI-0075,sham,0,test
LZTBI-0076,tbi_high,1,train
LZTBI-0077,tbi_moderate,1,test
LZTBI-0078,tbi_high,0,test
LZTBI-0079,tbi_low,0,train
LZTBI-0080,tbi_low,0,train
LZTBI-0081,sham,0,train
LZTBI-0082,tbi_high,0,train
LZTBI-0083,tbi_low,0,train
LZTBI-0084,tbi_high,0,test
LZTBI-0085,tbi_low,0,train
LZTBI-0086,tbi_moderate,1,train
LZTBI-0087,tbi_low,0,train
LZTBI-0088,tbi_high,1,train
LZTBI-0089,tbi_moderate,1,train
LZTBI-0090,tbi_low,0,train
LZTBI-0091,tbi_high,1,train
LZTBI-0092,sham,0,train
LZTBI-0093,tbi_high,1,test
LZTBI-0094,tbi_high,1,train
LZTBI-0095,tbi_moderate,1,test
LZTBI-0096,tbi_low,0,test
LZTBI-0097,tbi_moderate,0,train
LZTBI-0098,sham,0,train
LZTBI-0099,tbi_low,0,train
LZTBI-0100,tbi_moderate,0,train
LZTBI-0101,tbi_high,1,test
LZTBI-0102,tbi_low,0,test
LZTBI-0103,sham,0,train
LZTBI-0104,sham,0,train
LZTBI-0105,tbi_low,1,train
LZTBI-0106,sham,0,test
LZTBI-0107,sham,0,test
LZTBI-0108,tbi_low,0,train
